NOT,BUY,LIMIT,IOC,1744,0.0148024,0.0145880,FILLED,1744,1744,1718903410288,25.8153856
NOT,BUY,LIMIT,IOC,7545,0.0148066,0.0145930,FILLED,4639,7545,1718903412054,111.715797
LISTA,BUY,LIMIT,IOC,99,0.6776237,0.6683000,FILLED,18,99,1718903412532,67.0847463
NOT,BUY,LIMIT,IOC,7022,0.0148085,0.0145980,FILLED,7022,7022,1718903413180,103.985287
NOT,BUY,LIMIT,IOC,34498,0.0148121,0.0145980,FILLED,21732,34498,1718903414389,510.9878258
LISTA,BUY,LIMIT,IOC,975,0.6789694,0.6695939,FILLED,90,975,1718903416069,661.9951649999999
NOT,BUY,LIMIT,IOC,131824,0.0148170,0.0145953,FILLED,24086,131824,1718903416350,1953.236208
1000RATS,BUY,LIMIT,IOC,2683,0.0714773,0.0705200,FILLED,2155,2683,1718903420154,191.77359589999998
ORDI,BUY,LIMIT,IOC,13.6,40.592785,40.341000,FILLED,13.6,13.6,1718903420614,552.061876
ORDI,BUY,LIMIT,IOC,3.0,40.608367,40.391000,FILLED,3.0,3.0,1718903424342,121.825101
IO,BUY,LIMIT,IOC,2.2,4.0363890,3.9790000,FILLED,2.2,2.2,1718903424352,8.880055800000001
WLD,BUY,LIMIT,IOC,24,3.0127740,2.9970000,FILLED,24,24,1718903426354,72.30657599999999
BOME,BUY,LIMIT,IOC,135211,0.0091065,0.0089760,FILLED,14229,135211,1718903426428,1231.2989715
1000RATS,BUY,LIMIT,IOC,50578,0.0715141,0.0706332,FILLED,3574,50578,1718903426475,3617.0401497999997
FRONT,BUY,LIMIT,IOC,1652,0.9275563,0.9147799,FILLED,561,1652,1718903426476,1532.3230076
ORDI,BUY,LIMIT,IOC,2.1,40.672487,40.486047,FILLED,0.1,2.1,1718903427258,85.4122227
SAGA,BUY,LIMIT,IOC,14.5,1.3872815,1.3684000,FILLED,2.0,14.5,1718903427289,20.11558175
NOT,BUY,LIMIT,IOC,15624,0.0148240,0.0146060,FILLED,5372,15624,1718903427311,231.610176
ONG,BUY,LIMIT,IOC,293,0.3498509,0.3448500,FILLED,293,293,1718903428254,102.5063137
ENA,BUY,LIMIT,IOC,1685,0.6323604,0.6237000,FILLED,1094,1685,1718903428331,1065.527274
ORDI,BUY,LIMIT,IOC,1.5,40.737742,40.517000,FILLED,1.5,1.5,1718903428374,61.106612999999996
1000PEPE,BUY,LIMIT,IOC,6548,0.0112257,0.0110666,FILLED,4361,6548,1718903428420,73.5058836
